,property_type,society,sector,price,price_per_sqft,bedRoom,bathroom,balcony,floorNum,agePossession,built_up_area,study room,servant room,store room,pooja room,others,furnishing_type,luxury_score,coordinates,latitude,longitude
545,flat,mahindra luminare,sector 59,5.8,19174.0,3,4,3,16.0,New Property,3361.0,0,1,0,0,0,1,49,"28.4051° N, 77.1097° E",28.4051,77.1097
546,house,independent,sector 2,3.65,23443.0,3,9,3+,3.0,New Property,1557.0,0,1,0,1,0,1,116,"28.5095° N, 77.0320° E",28.5095,77.032
547,flat,signature global superbia,sector 95,0.4,6723.0,2,2,3,2.0,New Property,661.0,0,0,0,0,0,0,0,"28.4172° N, 76.9081° E",28.4172,76.9081
548,house,independent,sector 55,3.55,24500.0,4,4,3+,2.0,Old Property,1449.0,0,0,0,0,0,1,27,"28.4281° N, 77.1100° E",28.4281,77.11
549,flat,vatika gurgaon,sector 83,1.42,8875.0,4,4,3,7.0,Moderately Old,2000.0,1,1,0,0,0,0,103,"28.3986° N, 76.9647° E",28.3986,76.9647
550,house,unitech espace,sector 50,10.45,32253.0,5,7,3+,3.0,Old Property,3240.0,1,1,0,1,1,1,153,"28.4178° N, 77.0628° E",28.4178,77.0628
551,house,independent,sector 26,8.9,32963.0,4,4,3+,2.0,Old Property,2700.0,1,1,1,1,0,0,82,"28.4757° N, 77.1032° E",28.4757,77.1032
552,house,independent,sector 46,3.55,24500.0,5,4,3+,3.0,Old Property,1449.0,0,1,0,0,0,1,73,"28.4374° N, 77.0586° E",28.4374,77.0586
553,flat,orris aster court premier,sector 85,1.25,5896.0,3,4,2,5.0,Moderately Old,1900.0,0,1,0,0,0,1,174,"28.4042° N, 76.9513° E",28.4042,76.9513
554,house,vipul tatvam villa,sector 48,19.5,22222.0,5,6,3,2.0,Old Property,8775.0,1,1,1,1,0,1,110,"28.4177° N, 77.0359° E",28.4177,77.0359
555,flat,signature global grand iva,sector 103,0.5,6250.0,2,2,2,10.0,Moderately Old,698.0,0,0,0,0,0,0,8,"28.4949° N, 76.9845° E",28.4949,76.9845
556,flat,godrej aria,sector 79,1.3,8844.0,2,2,2,7.0,Moderately Old,1330.0,1,0,0,0,0,1,116,"28.3624° N, 76.9787° E",28.3624,76.9787
557,flat,elevate,sector 50,6.75,19882.0,4,4,0,10.0,Moderately Old,3395.0,0,0,0,0,0,0,0,"28.4178° N, 77.0628° E",28.4178,77.0628
558,house,independent,sector 67,3.0,11905.0,4,4,0,3.0,Moderately Old,2800.0,0,0,0,0,0,0,0,"28.3859° N, 77.0608° E",28.3859,77.0608
559,flat,pareena coban residences,sector 99a,1.08,6626.0,3,5,3,2.0,Moderately Old,1750.0,0,1,0,0,1,0,49,"28.4561° N, 76.9542° E",28.4561,76.9542
560,flat,godrej summit,sector 104,1.35,5000.0,4,5,3+,0.0,Moderately Old,3000.0,1,1,1,1,0,0,112,"28.4788° N, 76.9960° E",28.4788,76.996
